gen,best_train_mse,mean_train_mse,val_mse,sigma,diversity
43,0.009980720183,0.1890921078,0.008294449343,0.1442873742,0.2830630558
44,0.009980720183,0.1616181867,0.008294449343,0.1441571438,0.2781370568
45,0.009980720183,0.1518112072,0.008294449343,0.1440270309,0.2747286192
46,0.009980720183,0.14234355,0.008294449343,0.1438970354,0.2702959767
47,0.009980720183,0.1751115493,0.008294449343,0.1437671573,0.2690243537
48,0.009980720183,0.1405551138,0.008294449343,0.1436373964,0.2665822201
49,0.009980720183,0.1419258924,0.008294449343,0.1435077526,0.2686117448
50,0.009980720183,0.1384480998,0.008294449343,0.1433782258,0.2615755078
51,0.009980720183,0.1340102457,0.008294449343,0.143248816,0.2568492365
52,0.009980720183,0.1302429888,0.008294449343,0.1431195229,0.2576318548
53,0.009980720183,0.1381587021,0.008294449343,0.1429903465,0.2549525226
54,0.009980720183,0.1343306776,0.008294449343,0.1428612868,0.2466922527
55,0.009980720183,0.1314663383,0.008294449343,0.1427323435,0.2409528176
56,0.009980720183,0.1183241987,0.008294449343,0.1426035166,0.2340047186
57,0.009980720183,0.1245075403,0.008294449343,0.1424748059,0.2351241696
58,0.009980720183,0.1282735173,0.008294449343,0.1423462115,0.2303310779
59,0.009980720183,0.1345531785,0.008294449343,0.1422177331,0.234254418
60,0.009980720183,0.1434169876,0.008294449343,0.1420893706,0.2418036931
61,0.009980720183,0.1551674002,0.008294449343,0.1419611241,0.2486463027
62,0.009980720183,0.1593645556,0.008294449343,0.1418329933,0.2479891961
63,0.009980720183,0.1653777782,0.008294449343,0.1417049781,0.2509886226
64,0.009980720183,0.1440198215,0.008294449343,0.1415770785,0.2457195515
65,0.009980720183,0.1653404902,0.008294449343,0.1414492943,0.2478847893
66,0.009980720183,0.1732061108,0.008294449343,0.1413216254,0.2488246464
67,0.009980720183,0.1821287872,0.008294449343,0.1411940718,0.2518664476
68,0.009980720183,0.160491025,0.008294449343,0.1410666333,0.249030345
69,0.009980720183,0.176364163,0.008294449343,0.1409393098,0.2472206302
70,0.009980720183,0.1591005752,0.008294449343,0.1408121013,0.2432574937
71,0.009980720183,0.1548701965,0.008294449343,0.1406850075,0.2454854312
72,0.009114911928,0.1391964422,0.009018428217,0.1405580285,0.237889663
73,0.009114911928,0.1383153958,0.009018428217,0.1404311641,0.2316697344
74,0.009114911928,0.1436910848,0.009018428217,0.1403044142,0.2331003126
75,0.009114911928,0.1200361287,0.009018428217,0.1401777786,0.2271284672
76,0.009114911928,0.1389247326,0.009018428217,0.1400512574,0.2309445062
77,0.009114911928,0.1250823788,0.009018428217,0.1399248504,0.2386867587
78,0.009114911928,0.1427849356,0.009018428217,0.1397985575,0.2453061699
79,0.009114911928,0.1491742731,0.009018428217,0.1396723785,0.2521116667
80,0.009114911928,0.1495332206,0.009018428217,0.1395463135,0.2519853678
81,0.009114911928,0.1386646402,0.009018428217,0.1394203622,0.2545892352
82,0.009114911928,0.1425470815,0.009018428217,0.1392945246,0.2506175334
83,0.009114911928,0.1359816765,0.009018428217,0.1391688006,0.2479991518
84,0.009114911928,0.1306649332,0.009018428217,0.1390431901,0.2540780883
85,0.009114911928,0.1599192838,0.009018428217,0.1389176929,0.257245835
86,0.009114911928,0.1406439801,0.009018428217,0.138792309,0.2651478797
87,0.009114911928,0.142266254,0.009018428217,0.1386670383,0.2708531454
88,0.009114911928,0.1413539309,0.009018428217,0.1385418807,0.2718885229
89,0.009114911928,0.1278574404,0.009018428217,0.138416836,0.2709753709
90,0.009114911928,0.1220664965,0.009018428217,0.1382919041,0.2699027468
91,0.009114911928,0.1269713733,0.009018428217,0.1381670851,0.2639352603
92,0.009114911928,0.1314701883,0.009018428217,0.1380423787,0.2564958377
93,0.009114911928,0.1329853956,0.009018428217,0.1379177848,0.2573225389
94,0.009114911928,0.1387201391,0.009018428217,0.1377933034,0.259907487
95,0.009114911928,0.1257585558,0.009018428217,0.1376689344,0.2582817114
96,0.009114911928,0.1324608647,0.009018428217,0.1375446776,0.2597797944
97,0.009114911928,0.1415503011,0.009018428217,0.1374205329,0.2553275237
98,0.009114911928,0.1363848387,0.009018428217,0.1372965003,0.2613326857
99,0.009114911928,0.1391788538,0.009018428217,0.1371725797,0.2695984549
100,0.009114911928,0.1627827129,0.009018428217,0.1370487709,0.2753076175
101,0.009114911928,0.1400187248,0.009018428217,0.1369250739,0.2672607926
102,0.009114911928,0.140469404,0.009018428217,0.1368014885,0.2670496572
103,0.009114911928,0.1205303501,0.009018428217,0.1366780146,0.255950684
104,0.009114911928,0.1295161074,0.009018428217,0.1365546522,0.2505167359
105,0.006926315608,0.1506630247,0.004936704612,0.1364314011,0.2474612351
106,0.006926315608,0.1484536202,0.004936704612,0.1363082613,0.251229272
107,0.006926315608,0.1346837362,0.004936704612,0.1361852326,0.2612374594
108,0.006926315608,0.1549455197,0.004936704612,0.136062315,0.2681712297
109,0.006926315608,0.1527900121,0.004936704612,0.1359395083,0.2808296624
110,0.006926315608,0.1520289907,0.004936704612,0.1358168125,0.2843842097
111,0.006926315608,0.1550991298,0.004936704612,0.1356942274,0.2955045208
112,0.006926315608,0.1687159176,0.004936704612,0.1355717529,0.3068480812
113,0.006926315608,0.1454830067,0.004936704612,0.135449389,0.316493371
114,0.006926315608,0.1604909888,0.004936704612,0.1353271355,0.3226038706
115,0.006926315608,0.1381369385,0.004936704612,0.1352049924,0.3289389742
116,0.006926315608,0.147450737,0.004936704612,0.1350829595,0.3399459376
117,0.006926315608,0.1536627862,0.004936704612,0.1349610367,0.3507781029
118,0.006926315608,0.165906057,0.004936704612,0.134839224,0.3570427105
119,0.006926315608,0.1434154501,0.004936704612,0.1347175213,0.3572045707
120,0.006926315608,0.1549827425,0.004936704612,0.1345959283,0.3610685708
121,0.006926315608,0.1766112442,0.004936704612,0.1344744452,0.3636727614
122,0.006662828741,0.1445598282,0.004206847987,0.1343530717,0.3549708368
123,0.006662828741,0.1349680671,0.004206847987,0.1342318077,0.3481275368
124,0.006662828741,0.1407864027,0.004206847987,0.1341106532,0.3497215203
125,0.006662828741,0.129204148,0.004206847987,0.133989608,0.3437984059
126,0.006662828741,0.1348347057,0.004206847987,0.1338686721,0.3474529187
127,0.006662828741,0.1269448402,0.004206847987,0.1337478453,0.3629451472
